0	0	0.00000000E+00	0.00000000E+00
1	0	0.00000000E+00	0.00000000E+00
1	1	0.00000000E+00	0.00000000E+00
2	0	-4.84165144E-04	0.00000000E+00
2	1	-2.06615509E-10	1.38441389E-09
2	2	2.43938357E-06	-1.40027370E-06
3	0	9.57161207E-07	0.00000000E+00
3	1	2.03046201E-06	2.48200416E-07
3	2	9.04787895E-07	-6.19005475E-07
3	3	7.21321757E-07	1.41434926E-06
4	0	5.39965867E-07	0.00000000E+00
4	1	-5.36157389E-07	-4.73567347E-07
4	2	3.50501624E-07	6.62480026E-07
4	3	9.90856767E-07	-2.00956724E-07
4	4	-1.88519633E-07	3.08803882E-07
5	0	6.86702914E-08	0.00000000E+00
5	1	-6.29211923E-08	-9.43698073E-08
5	2	6.52078043E-07	-3.23353193E-07
5	3	-4.51847152E-07	-2.14955408E-07
5	4	-2.95328761E-07	4.98070550E-08
5	5	1.74811795E-07	-6.69379935E-07
6	0	-1.49953928E-07	0.00000000E+00
6	1	-7.59210082E-08	2.65122593E-08
6	2	4.86488925E-08	-3.73789325E-07
6	3	5.72451611E-08	8.95201130E-09
6	4	-8.60237937E-08	-4.71425573E-07
6	5	-2.67166424E-07	-5.36493152E-07
6	6	9.47068750E-09	-2.37382353E-07
7	0	9.05120845E-08	0.00000000E+00
7	1	2.80887556E-07	9.51259363E-08
7	2	3.30407994E-07	9.29969291E-08
7	3	2.50458409E-07	-2.17118288E-07
7	4	-2.74993936E-07	-1.24058404E-07
7	5	1.64773256E-09	1.79281783E-08
7	6	-3.58798423E-07	1.51798257E-07
7	7	1.50746473E-09	2.41068767E-08
8	0	4.94756003E-08	0.00000000E+00
8	1	2.31607991E-08	5.88974541E-08
8	2	8.00143605E-08	6.52805044E-08
8	3	-1.93745382E-08	-8.59639339E-08
8	4	-2.44360480E-07	6.98072508E-08
8	5	-2.57011477E-08	8.92034892E-08
8	6	-6.59648680E-08	3.08946731E-07
8	7	6.72569752E-08	7.48686064E-08
8	8	-1.24022772E-07	1.20551889E-07
9	0	2.80180753E-08	0.00000000E+00
9	1	1.42151377E-07	2.14004665E-08
9	2	2.14144381E-08	-3.16984195E-08
9	3	-1.60612357E-07	-7.42658787E-08
9	4	-9.36529557E-09	1.99026741E-08
9	5	-1.63134051E-08	-5.40394840E-08
9	6	6.27879491E-08	2.22962377E-07
9	7	-1.17983924E-07	-9.69222127E-08
9	8	1.88136189E-07	-3.00538975E-09
9	9	-4.75568433E-08	9.68804214E-08
10	0	5.33304382E-08	0.00000000E+00
10	1	8.37623113E-08	-1.31092332E-07
10	2	-9.39894766E-08	-5.12746773E-08
10	3	-7.00709997E-09	-1.54139929E-07
10	4	-8.44715388E-08	-7.90255528E-08
10	5	-4.92894050E-08	-5.06137282E-08
10	6	-3.75849022E-08	-7.97688616E-08
10	7	8.26209287E-09	-3.04903704E-09
10	8	4.05981625E-08	-9.17138622E-08
10	9	1.25376632E-07	-3.79436585E-08
10	10	1.00435992E-07	-2.38596204E-08
11	0	-5.07683787E-08	0.00000000E+00
11	1	1.56127679E-08	-2.71235374E-08
11	2	2.01135250E-08	-9.90003955E-08
11	3	-3.05773532E-08	-1.48835345E-07
11	4	-3.79499015E-08	-6.37669897E-08
