0	-0.564513	-0.589187	-0.578086	-2.67443e-06
1	-0.590346	-0.565717	-0.575722	-2.61927e-06
2	-0.568272	-0.55917	-0.603651	-2.69057e-06
3	-0.586051	-0.595244	-0.549754	-2.67322e-06
4	-0.542239	-0.582362	-0.605666	-2.72442e-06
5	-0.611619	-0.571487	-0.547107	-2.60023e-06
6	-0.593687	-0.535266	-0.600855	-2.60833e-06
7	-0.56006	-0.618024	-0.551706	-2.71088e-06
8	-0.538182	-0.61168	-0.579834	-2.69563e-06
9	-0.615456	-0.541555	-0.572653	-2.52101e-06
10	-0.545532	-0.551864	-0.630747	-2.80671e-06
11	-0.606825	-0.600525	-0.520705	-2.71173e-06
12	-0.57114	-0.528277	-0.628269	-2.74999e-06
13	-0.58113	-0.623587	-0.522902	-2.76684e-06
14	-0.515629	-0.604574	-0.607138	-2.72559e-06
15	-0.63614	-0.547266	-0.543899	-2.48894e-06
16	-0.519258	-0.574779	-0.632456	-2.8105e-06
17	-0.533322	-0.640089	-0.55304	-2.72153e-06
18	-0.631794	-0.576743	-0.517884	-2.6201e-06
19	-0.618331	-0.510777	-0.597305	-2.47057e-06
20	-0.511205	-0.633438	-0.580884	-2.69599e-06
21	-0.639533	-0.516863	-0.569079	-2.37737e-06
22	-0.596053	-0.504046	-0.625027	-2.62743e-06
23	-0.55474	-0.645904	-0.524473	-2.78821e-06
24	-0.547978	-0.520762	-0.65462	-2.92144e-06
25	-0.606679	-0.623636	-0.49297	-2.82792e-06
26	-0.522087	-0.544097	-0.656798	-2.93848e-06
27	-0.656006	-0.552272	-0.514444	-2.49093e-06
28	-0.632217	-0.599837	-0.490405	-2.7424e-06
29	-0.659941	-0.52232	-0.540055	-2.3372e-06
30	-0.58069	-0.646419	-0.494916	-2.87182e-06
31	-0.487173	-0.600517	-0.634068	-2.77807e-06
32	-0.573243	-0.496722	-0.65166	-2.82928e-06
33	-0.483108	-0.629826	-0.608216	-2.70913e-06
34	-0.505993	-0.661324	-0.553734	-2.71393e-06
35	-0.641952	-0.485686	-0.593301	-2.27996e-06
36	-0.527686	-0.667447	-0.525416	-2.78041e-06
37	-0.62024	-0.479201	-0.621023	-2.43764e-06
38	-0.490456	-0.569922	-0.659274	-2.89412e-06
39	-0.656735	-0.575613	-0.487205	-2.61833e-06
