x1, y1, z1, x2, y2, z2
0, 0, 1, 6.75274e-08, 0.894427, 0.447214
6.75274e-08, 0.894427, 0.447214, -0.850651, 0.276393, 0.447214
-0.850651, 0.276393, 0.447214, 0, 0, 1
0, 0, -1, -0.525731, 0.723607, -0.447214
-0.525731, 0.723607, -0.447214, -0.850651, -0.276393, -0.447214
-0.850651, -0.276393, -0.447214, 0, 0, -1
6.75274e-08, 0.894427, 0.447214, -0.525731, 0.723607, -0.447214
-0.525731, 0.723607, -0.447214, -0.850651, 0.276393, 0.447214
-0.850651, 0.276393, 0.447214, 6.75274e-08, 0.894427, 0.447214
-0.525731, 0.723607, -0.447214, -0.850651, 0.276393, 0.447214
-0.850651, 0.276393, 0.447214, -0.850651, -0.276393, -0.447214
-0.850651, -0.276393, -0.447214, -0.525731, 0.723607, -0.447214
0, 0, 1, -0.850651, 0.276393, 0.447214
-0.850651, 0.276393, 0.447214, -0.525731, -0.723607, 0.447214
-0.525731, -0.723607, 0.447214, 0, 0, 1
0, 0, -1, -0.850651, -0.276393, -0.447214
-0.850651, -0.276393, -0.447214, 1.06659e-08, -0.894427, -0.447214
1.06659e-08, -0.894427, -0.447214, 0, 0, -1
-0.850651, 0.276393, 0.447214, -0.850651, -0.276393, -0.447214
-0.850651, -0.276393, -0.447214, -0.525731, -0.723607, 0.447214
-0.525731, -0.723607, 0.447214, -0.850651, 0.276393, 0.447214
-0.850651, -0.276393, -0.447214, -0.525731, -0.723607, 0.447214
-0.525731, -0.723607, 0.447214, 1.06659e-08, -0.894427, -0.447214
1.06659e-08, -0.894427, -0.447214, -0.850651, -0.276393, -0.447214
0, 0, 1, -0.525731, -0.723607, 0.447214
-0.525731, -0.723607, 0.447214, 0.525731, -0.723607, 0.447214
0.525731, -0.723607, 0.447214, 0, 0, 1
0, 0, -1, 1.06659e-08, -0.894427, -0.447214
1.06659e-08, -0.894427, -0.447214, 0.850651, -0.276393, -0.447214
0.850651, -0.276393, -0.447214, 0, 0, -1
-0.525731, -0.723607, 0.447214, 1.06659e-08, -0.894427, -0.447214
1.06659e-08, -0.894427, -0.447214, 0.525731, -0.723607, 0.447214
0.525731, -0.723607, 0.447214, -0.525731, -0.723607, 0.447214
1.06659e-08, -0.894427, -0.447214, 0.525731, -0.723607, 0.447214
0.525731, -0.723607, 0.447214, 0.850651, -0.276393, -0.447214
0.850651, -0.276393, -0.447214, 1.06659e-08, -0.894427, -0.447214
0, 0, 1, 0.525731, -0.723607, 0.447214
0.525731, -0.723607, 0.447214, 0.850651, 0.276393, 0.447214
0.850651, 0.276393, 0.447214, 0, 0, 1
0, 0, -1, 0.850651, -0.276393, -0.447214
0.850651, -0.276393, -0.447214, 0.525731, 0.723607, -0.447214
0.525731, 0.723607, -0.447214, 0, 0, -1
0.525731, -0.723607, 0.447214, 0.850651, -0.276393, -0.447214
0.850651, -0.276393, -0.447214, 0.850651, 0.276393, 0.447214
0.850651, 0.276393, 0.447214, 0.525731, -0.723607, 0.447214
0.850651, -0.276393, -0.447214, 0.850651, 0.276393, 0.447214
0.850651, 0.276393, 0.447214, 0.525731, 0.723607, -0.447214
0.525731, 0.723607, -0.447214, 0.850651, -0.276393, -0.447214
0, 0, 1, 0.850651, 0.276393, 0.447214
0.850651, 0.276393, 0.447214, 1.24389e-07, 0.894427, 0.447214
1.24389e-07, 0.894427, 0.447214, 0, 0, 1
0, 0, -1, 0.525731, 0.723607, -0.447214
0.525731, 0.723607, -0.447214, -0.525731, 0.723607, -0.447214
-0.525731, 0.723607, -0.447214, 0, 0, -1
0.850651, 0.276393, 0.447214, 0.525731, 0.723607, -0.447214
0.525731, 0.723607, -0.447214, 1.24389e-07, 0.894427, 0.447214
1.24389e-07, 0.894427, 0.447214, 0.850651, 0.276393, 0.447214
0.525731, 0.723607, -0.447214, 1.24389e-07, 0.894427, 0.447214
1.24389e-07, 0.894427, 0.447214, -0.525731, 0.723607, -0.447214
-0.525731, 0.723607, -0.447214, 0.525731, 0.723607, -0.447214
