x1, y1, z1, x2, y2, z2
-1, 3.50347e-08, 0, -0.999229, 0.0175576, -0.035115
-0.999402, -0.0181858, -0.0294253, -0.999229, 0.0175576, -0.035115
-0.809017, 0.587785, 0, -0.83147, 0.55557, 0
-0.809017, 0.587785, 0, -0.818713, 0.573128, -0.035115
-0.83147, 0.55557, 0, -0.818713, 0.573128, -0.035115
-0.5, 0.16246, 0.850651, -0.527686, 0.171456, 0.831956
-0.5, 0.16246, 0.850651, -0.526633, 0.135998, 0.839144
-0.527686, 0.171456, 0.831956, -0.526633, 0.135998, 0.839144
-0.809017, -0.262865, 0.525731, -0.797844, -0.295607, 0.525416
-0.809017, -0.262865, 0.525731, -0.785317, -0.276867, 0.553734
-0.797844, -0.295607, 0.525416, -0.785317, -0.276867, 0.553734
-0.5, 0.16246, 0.850651, -0.526633, 0.135998, 0.839144
-0.5, 0.16246, 0.850651, -0.493236, 0.125147, 0.860846
-0.526633, 0.135998, 0.839144, -0.493236, 0.125147, 0.860846
-0.5, -0.16246, -0.850651, -0.527686, -0.171456, -0.831956
-0.5, -0.16246, -0.850651, -0.505993, -0.199522, -0.839144
-0.527686, -0.171456, -0.831956, -0.505993, -0.199522, -0.839144
-0.5, -0.688191, -0.525731, -0.471716, -0.708111, -0.525416
-0.5, -0.688191, -0.525731, -0.472596, -0.685588, -0.553734
-0.471716, -0.708111, -0.525416, -0.472596, -0.685588, -0.553734
-0.5, -0.16246, -0.850651, -0.505993, -0.199522, -0.839144
-0.5, -0.16246, -0.850651, -0.472596, -0.188671, -0.860846
-0.505993, -0.199522, -0.839144, -0.472596, -0.188671, -0.860846
-1, 3.50347e-08, 0, -0.999402, -0.0181858, -0.0294253
-1, 3.50347e-08, 0, -0.999229, -0.0392598, 0
-0.999402, -0.0181858, -0.0294253, -0.999229, -0.0392598, 0
-0.809017, -0.587785, 0, -0.797844, -0.602146, 0.0294253
-0.809017, -0.587785, 0, -0.818713, -0.573128, 0.035115
-0.797844, -0.602146, 0.0294253, -0.818713, -0.573128, 0.035115
-1, 3.50347e-08, 0, -0.999229, -0.0392598, 0
-1, 3.50347e-08, 0, -0.999229, -0.0175575, 0.035115
-0.999229, -0.0392598, 0, -0.999229, -0.0175575, 0.035115
-0.809017, -0.587785, 0, -0.797844, -0.602146, 0.0294253
-0.809017, -0.587785, 0, -0.785317, -0.619094, 0
-0.797844, -0.602146, 0.0294253, -0.785317, -0.619094, 0
-0.309017, -0.951056, 0, -0.291536, -0.956107, -0.0294253
-0.309017, -0.951056, 0, -0.325477, -0.944898, -0.035115
-0.291536, -0.956107, -0.0294253, -0.325477, -0.944898, -0.035115
-0.809017, -0.587785, 0, -0.785317, -0.619094, 0
-0.809017, -0.587785, 0, -0.798073, -0.601536, -0.035115
-0.785317, -0.619094, 0, -0.798073, -0.601536, -0.035115
-0.309017, -0.425325, 0.850651, -0.326128, -0.448876, 0.831956
-0.309017, -0.425325, 0.850651, -0.292081, -0.458832, 0.839144
-0.326128, -0.448876, 0.831956, -0.292081, -0.458832, 0.839144
-1.75174e-07, -0.850651, 0.525731, 0.0345913, -0.850142, 0.525416
-1.75174e-07, -0.850651, 0.525731, 0.0206399, -0.832437, 0.553734
0.0345913, -0.850142, 0.525416, 0.0206399, -0.832437, 0.553734
-0.309017, -0.425325, 0.850651, -0.292081, -0.458832, 0.839144
-0.309017, -0.425325, 0.850651, -0.271441, -0.430423, 0.860846
-0.292081, -0.458832, 0.839144, -0.271441, -0.430423, 0.860846
6.26928e-09, -0.525731, -0.850651, 6.61642e-09, -0.554842, -0.831956
6.26928e-09, -0.525731, -0.850651, 0.0333964, -0.542883, -0.839144
6.61642e-09, -0.554842, -0.831956, 0.0333964, -0.542883, -0.839144
0.5, -0.688191, -0.525731, 0.527686, -0.667447, -0.525416
0.5, -0.688191, -0.525731, 0.505993, -0.661324, -0.553734
0.527686, -0.667447, -0.525416, 0.505993, -0.661324, -0.553734
6.26928e-09, -0.525731, -0.850651, 0.0333964, -0.542883, -0.839144
6.26928e-09, -0.525731, -0.850651, 0.0333964, -0.507768, -0.860846
0.0333964, -0.542883, -0.839144, 0.0333964, -0.507768, -0.860846
-0.309017, -0.951056, 0, -0.291536, -0.956107, -0.0294253
-0.309017, -0.951056, 0, -0.271441, -0.962455, 0
-0.291536, -0.956107, -0.0294253, -0.271441, -0.962455, 0
0.309017, -0.951057, 0, 0.326128, -0.944868, 0.0294253
0.309017, -0.951057, 0, 0.29208, -0.955749, 0.035115
0.326128, -0.944868, 0.0294253, 0.29208, -0.955749, 0.035115
-0.309017, -0.951056, 0, -0.271441, -0.962455, 0
-0.309017, -0.951056, 0, -0.292081, -0.955749, 0.035115
-0.271441, -0.962455, 0, -0.292081, -0.955749, 0.035115
0.309017, -0.951057, 0, 0.326128, -0.944868, 0.0294253
0.309017, -0.951057, 0, 0.346117, -0.938191, 0
0.326128, -0.944868, 0.0294253, 0.346117, -0.938191, 0
0.809017, -0.587785, 0, 0.819222, -0.572721, -0.0294253
0.809017, -0.587785, 0, 0.798073, -0.601536, -0.035115
0.819222, -0.572721, -0.0294253, 0.798073, -0.601536, -0.035115
0.309017, -0.951057, 0, 0.346117, -0.938191, 0
0.309017, -0.951057, 0, 0.325477, -0.944898, -0.035115
0.346117, -0.938191, 0, 0.325477, -0.944898, -0.035115
0.309017, -0.425325, 0.850651, 0.326128, -0.448876, 0.831956
0.309017, -0.425325, 0.850651, 0.346117, -0.419572, 0.839144
0.326128, -0.448876, 0.831956, 0.346117, -0.419572, 0.839144
0.809017, -0.262866, 0.525731, 0.819222, -0.22981, 0.525416
0.809017, -0.262866, 0.525731, 0.798073, -0.237608, 0.553734
0.819222, -0.22981, 0.525416, 0.798073, -0.237608, 0.553734
0.309017, -0.425325, 0.850651, 0.346117, -0.419572, 0.839144
0.309017, -0.425325, 0.850651, 0.325477, -0.391163, 0.860846
0.346117, -0.419572, 0.839144, 0.325477, -0.391163, 0.860846
0.5, -0.16246, -0.850651, 0.527686, -0.171456, -0.831956
0.5, -0.16246, -0.850651, 0.526633, -0.135998, -0.839144
0.527686, -0.171456, -0.831956, 0.526633, -0.135998, -0.839144
0.809017, 0.262866, -0.525731, 0.797844, 0.295607, -0.525416
0.809017, 0.262866, -0.525731, 0.785317, 0.276867, -0.553734
0.797844, 0.295607, -0.525416, 0.785317, 0.276867, -0.553734
0.5, -0.16246, -0.850651, 0.526633, -0.135998, -0.839144
0.5, -0.16246, -0.850651, 0.493236, -0.125147, -0.860846
0.526633, -0.135998, -0.839144, 0.493236, -0.125147, -0.860846
0.809017, -0.587785, 0, 0.819222, -0.572721, -0.0294253
0.809017, -0.587785, 0, 0.83147, -0.55557, 0
0.819222, -0.572721, -0.0294253, 0.83147, -0.55557, 0
1, -5.25521e-08, 0, 0.999402, 0.0181858, 0.0294253
1, -5.25521e-08, 0, 0.999229, -0.0175576, 0.035115
0.999402, 0.0181858, 0.0294253, 0.999229, -0.0175576, 0.035115
0.809017, -0.587785, 0, 0.83147, -0.55557, 0
0.809017, -0.587785, 0, 0.818713, -0.573128, 0.035115
0.83147, -0.55557, 0, 0.818713, -0.573128, 0.035115
1, -5.25521e-08, 0, 0.999402, 0.0181858, 0.0294253
1, -5.25521e-08, 0, 0.999229, 0.0392598, 0
0.999402, 0.0181858, 0.0294253, 0.999229, 0.0392598, 0
0.809017, 0.587785, 0, 0.797844, 0.602146, -0.0294253
0.809017, 0.587785, 0, 0.818713, 0.573128, -0.035115
0.797844, 0.602146, -0.0294253, 0.818713, 0.573128, -0.035115
1, -5.25521e-08, 0, 0.999229, 0.0392598, 0
1, -5.25521e-08, 0, 0.999229, 0.0175575, -0.035115
0.999229, 0.0392598, 0, 0.999229, 0.0175575, -0.035115
0.5, 0.16246, 0.850651, 0.527686, 0.171455, 0.831956
0.5, 0.16246, 0.850651, 0.505993, 0.199522, 0.839144
0.527686, 0.171455, 0.831956, 0.505993, 0.199522, 0.839144
0.5, 0.688191, 0.525731, 0.471716, 0.708111, 0.525416
0.5, 0.688191, 0.525731, 0.472596, 0.685588, 0.553734
0.471716, 0.708111, 0.525416, 0.472596, 0.685588, 0.553734
0.5, 0.16246, 0.850651, 0.505993, 0.199522, 0.839144
0.5, 0.16246, 0.850651, 0.472596, 0.188671, 0.860846
0.505993, 0.199522, 0.839144, 0.472596, 0.188671, 0.860846
0.309017, 0.425325, -0.850651, 0.326128, 0.448876, -0.831956
0.309017, 0.425325, -0.850651, 0.292081, 0.458832, -0.839144
0.326128, 0.448876, -0.831956, 0.292081, 0.458832, -0.839144
1.05104e-07, 0.850651, -0.525731, -0.0345914, 0.850142, -0.525416
1.05104e-07, 0.850651, -0.525731, -0.02064, 0.832437, -0.553734
-0.0345914, 0.850142, -0.525416, -0.02064, 0.832437, -0.553734
0.309017, 0.425325, -0.850651, 0.292081, 0.458832, -0.839144
0.309017, 0.425325, -0.850651, 0.27144, 0.430423, -0.860846
0.292081, 0.458832, -0.839144, 0.27144, 0.430423, -0.860846
0.809017, 0.587785, 0, 0.797844, 0.602146, -0.0294253
0.809017, 0.587785, 0, 0.785317, 0.619094, 0
0.797844, 0.602146, -0.0294253, 0.785317, 0.619094, 0
0.309017, 0.951057, 0, 0.291536, 0.956107, 0.0294253
0.309017, 0.951057, 0, 0.325477, 0.944898, 0.035115
0.291536, 0.956107, 0.0294253, 0.325477, 0.944898, 0.035115
0.809017, 0.587785, 0, 0.785317, 0.619094, 0
0.809017, 0.587785, 0, 0.798073, 0.601536, 0.035115
0.785317, 0.619094, 0, 0.798073, 0.601536, 0.035115
0.309017, 0.951057, 0, 0.291536, 0.956107, 0.0294253
0.309017, 0.951057, 0, 0.27144, 0.962455, 0
0.291536, 0.956107, 0.0294253, 0.27144, 0.962455, 0
-0.309017, 0.951057, 0, -0.326128, 0.944868, -0.0294253
-0.309017, 0.951057, 0, -0.29208, 0.955749, -0.035115
-0.326128, 0.944868, -0.0294253, -0.29208, 0.955749, -0.035115
0.309017, 0.951057, 0, 0.27144, 0.962455, 0
0.309017, 0.951057, 0, 0.292081, 0.955749, -0.035115
0.27144, 0.962455, 0, 0.292081, 0.955749, -0.035115
2.0631e-08, 0.273266, 0.961938, 2.31309e-08, 0.306378, 0.95191
2.0631e-08, 0.273266, 0.961938, -0.0333048, 0.28572, 0.957734
2.31309e-08, 0.306378, 0.95191, -0.0333048, 0.28572, 0.957734
-0.262866, 0.361803, 0.894427, -0.294425, 0.338448, 0.893738
-0.262866, 0.361803, 0.894427, -0.263677, 0.328298, 0.907025
-0.294425, 0.338448, 0.893738, -0.263677, 0.328298, 0.907025
2.0631e-08, 0.273266, 0.961938, -0.0333048, 0.28572, 0.957734
2.0631e-08, 0.273266, 0.961938, -0.0330481, 0.250827, 0.967468
-0.0333048, 0.28572, 0.957734, -0.0330481, 0.250827, 0.967468
-0.160622, 0.221077, -0.961938, -0.180084, 0.247865, -0.95191
-0.160622, 0.221077, -0.961938, -0.194886, 0.211576, -0.957734
-0.180084, 0.247865, -0.95191, -0.194886, 0.211576, -0.957734
-0.425325, 0.138197, -0.894427, -0.437129, 0.100752, -0.893738
-0.425325, 0.138197, -0.894427, -0.406288, 0.110613, -0.907025
-0.437129, 0.100752, -0.893738, -0.406288, 0.110613, -0.907025
-0.160622, 0.221077, -0.961938, -0.194886, 0.211576, -0.957734
-0.160622, 0.221077, -0.961938, -0.174169, 0.183498, -0.967468
-0.194886, 0.211576, -0.957734, -0.174169, 0.183498, -0.967468
-0.160622, 0.959253, 0.232454, -0.180084, 0.962263, 0.20401
-0.160622, 0.959253, 0.232454, -0.194886, 0.951243, 0.239072
-0.180084, 0.962263, 0.20401, -0.194886, 0.951243, 0.239072
-0.425325, 0.861803, 0.276393, -0.437129, 0.844441, 0.309576
-0.425325, 0.861803, 0.276393, -0.406288, 0.860736, 0.306699
-0.437129, 0.844441, 0.309576, -0.406288, 0.860736, 0.306699
-0.160622, 0.959253, 0.232454, -0.194886, 0.951243, 0.239072
-0.160622, 0.959253, 0.232454, -0.174169, 0.947392, 0.268539
-0.194886, 0.951243, 0.239072, -0.174169, 0.947392, 0.268539
-0.69378, 0.68164, -0.232454, -0.711295, 0.672636, -0.20401
-0.69378, 0.68164, -0.232454, -0.716793, 0.655021, -0.239072
-0.711295, 0.672636, -0.20401, -0.716793, 0.655021, -0.239072
-0.850651, 0.447214, -0.276393, -0.849995, 0.426229, -0.309576
-0.850651, 0.447214, -0.276393, -0.834622, 0.457539, -0.306699
-0.849995, 0.426229, -0.309576, -0.834622, 0.457539, -0.306699
-0.69378, 0.68164, -0.232454, -0.716793, 0.655021, -0.239072
-0.69378, 0.68164, -0.232454, -0.697769, 0.664083, -0.268539
-0.716793, 0.655021, -0.239072, -0.697769, 0.664083, -0.268539
-0.259892, 0.084444, 0.961938, -0.291383, 0.094676, 0.95191
-0.259892, 0.084444, 0.961938, -0.282027, 0.0566175, 0.957734
-0.291383, 0.094676, 0.95191, -0.282027, 0.0566175, 0.957734
-0.425325, -0.138197, 0.894427, -0.412866, -0.175428, 0.893738
-0.425325, -0.138197, 0.894427, -0.393711, -0.149322, 0.907025
-0.412866, -0.175428, 0.893738, -0.393711, -0.149322, 0.907025
-0.259892, 0.084444, 0.961938, -0.282027, 0.0566175, 0.957734
-0.259892, 0.084444, 0.961938, -0.248763, 0.0460791, 0.967468
-0.282027, 0.0566175, 0.957734, -0.248763, 0.0460791, 0.967468
-0.259892, -0.084444, -0.961938, -0.291383, -0.094676, -0.95191
-0.259892, -0.084444, -0.961938, -0.261444, -0.119967, -0.957734
-0.291383, -0.094676, -0.95191, -0.261444, -0.119967, -0.957734
-0.262866, -0.361803, -0.894427, -0.230901, -0.384601, -0.893738
-0.262866, -0.361803, -0.894427, -0.230749, -0.352222, -0.907025
-0.230901, -0.384601, -0.893738, -0.230749, -0.352222, -0.907025
-0.259892, -0.084444, -0.961938, -0.261444, -0.119967, -0.957734
-0.259892, -0.084444, -0.961938, -0.228338, -0.10894, -0.967468
-0.261444, -0.119967, -0.957734, -0.228338, -0.10894, -0.967468
-0.961938, 0.143665, 0.232454, -0.970815, 0.126085, 0.20401
-0.961938, 0.143665, 0.232454, -0.964909, 0.108603, 0.239072
-0.970815, 0.126085, 0.20401, -0.964909, 0.108603, 0.239072
-0.951056, -0.138197, 0.276393, -0.938191, -0.154788, 0.309576
-0.951056, -0.138197, 0.276393, -0.944158, -0.120421, 0.306699
-0.938191, -0.154788, 0.309576, -0.944158, -0.120421, 0.306699
-0.961938, 0.143665, 0.232454, -0.964909, 0.108603, 0.239072
-0.961938, 0.143665, 0.232454, -0.954845, 0.127116, 0.268539
-0.964909, 0.108603, 0.239072, -0.954845, 0.127116, 0.268539
-0.862669, -0.449186, -0.232454, -0.859517, -0.468626, -0.20401
-0.862669, -0.449186, -0.232454, -0.844463, -0.479298, -0.239072
-0.859517, -0.468626, -0.20401, -0.844463, -0.479298, -0.239072
-0.688191, -0.67082, -0.276393, -0.66803, -0.676681, -0.309576
-0.688191, -0.67082, -0.276393, -0.693058, -0.652385, -0.306699
-0.66803, -0.676681, -0.309576, -0.693058, -0.652385, -0.306699
-0.862669, -0.449186, -0.232454, -0.844463, -0.479298, -0.239072
-0.862669, -0.449186, -0.232454, -0.847203, -0.458404, -0.268539
-0.844463, -0.479298, -0.239072, -0.847203, -0.458404, -0.268539
-0.160622, -0.221077, 0.961938, -0.180084, -0.247865, 0.95191
-0.160622, -0.221077, 0.961938, -0.140998, -0.250728, 0.957734
-0.180084, -0.247865, 0.95191, -0.140998, -0.250728, 0.957734
-9.4008e-08, -0.447214, 0.894427, 0.0392597, -0.446869, 0.893738
-9.4008e-08, -0.447214, 0.894427, 0.0203505, -0.420584, 0.907025
0.0392597, -0.446869, 0.893738, 0.0203505, -0.420584, 0.907025
-0.160622, -0.221077, 0.961938, -0.140998, -0.250728, 0.957734
-0.160622, -0.221077, 0.961938, -0.120696, -0.222348, 0.967468
-0.140998, -0.250728, 0.957734, -0.120696, -0.222348, 0.967468
3.25867e-09, -0.273266, -0.961938, 3.65352e-09, -0.306378, -0.95191
3.25867e-09, -0.273266, -0.961938, 0.0333048, -0.28572, -0.957734
3.65352e-09, -0.306378, -0.95191, 0.0333048, -0.28572, -0.957734
0.262866, -0.361803, -0.894427, 0.294425, -0.338448, -0.893738
0.262866, -0.361803, -0.894427, 0.263677, -0.328298, -0.907025
0.294425, -0.338448, -0.893738, 0.263677, -0.328298, -0.907025
3.25867e-09, -0.273266, -0.961938, 0.0333048, -0.28572, -0.957734
3.25867e-09, -0.273266, -0.961938, 0.0330481, -0.250827, -0.967468
0.0333048, -0.28572, -0.957734, 0.0330481, -0.250827, -0.967468
-0.433889, -0.870463, 0.232454, -0.419913, -0.884338, 0.20401
-0.433889, -0.870463, 0.232454, -0.401461, -0.884123, 0.239072
-0.419913, -0.884338, 0.20401, -0.401461, -0.884123, 0.239072
-0.16246, -0.947214, 0.276393, -0.142705, -0.940105, 0.309576
-0.16246, -0.947214, 0.276393, -0.177234, -0.93516, 0.306699
-0.142705, -0.940105, 0.309576, -0.177234, -0.93516, 0.306699
-0.433889, -0.870463, 0.232454, -0.401461, -0.884123, 0.239072
-0.433889, -0.870463, 0.232454, -0.415958, -0.86883, 0.268539
-0.401461, -0.884123, 0.239072, -0.415958, -0.86883, 0.268539
0.160622, -0.959253, -0.232454, 0.180084, -0.962263, -0.20401
0.160622, -0.959253, -0.232454, 0.194886, -0.951243, -0.239072
0.180084, -0.962263, -0.20401, 0.194886, -0.951243, -0.239072
0.425325, -0.861803, -0.276393, 0.437129, -0.844441, -0.309576
0.425325, -0.861803, -0.276393, 0.406288, -0.860736, -0.306699
0.437129, -0.844441, -0.309576, 0.406288, -0.860736, -0.306699
0.160622, -0.959253, -0.232454, 0.194886, -0.951243, -0.239072
0.160622, -0.959253, -0.232454, 0.174169, -0.947392, -0.268539
0.194886, -0.951243, -0.239072, 0.174169, -0.947392, -0.268539
0.160622, -0.221077, 0.961938, 0.180084, -0.247865, 0.95191
0.160622, -0.221077, 0.961938, 0.194886, -0.211576, 0.957734
0.180084, -0.247865, 0.95191, 0.194886, -0.211576, 0.957734
0.425325, -0.138197, 0.894427, 0.437129, -0.100752, 0.893738
0.425325, -0.138197, 0.894427, 0.406288, -0.110613, 0.907025
0.437129, -0.100752, 0.893738, 0.406288, -0.110613, 0.907025
0.160622, -0.221077, 0.961938, 0.194886, -0.211576, 0.957734
0.160622, -0.221077, 0.961938, 0.174169, -0.183498, 0.967468
0.194886, -0.211576, 0.957734, 0.174169, -0.183498, 0.967468
0.259892, -0.084444, -0.961938, 0.291383, -0.094676, -0.95191
0.259892, -0.084444, -0.961938, 0.282027, -0.0566175, -0.957734
0.291383, -0.094676, -0.95191, 0.282027, -0.0566175, -0.957734
0.425325, 0.138197, -0.894427, 0.412866, 0.175428, -0.893738
0.425325, 0.138197, -0.894427, 0.393711, 0.149322, -0.907025
0.412866, 0.175428, -0.893738, 0.393711, 0.149322, -0.907025
0.259892, -0.084444, -0.961938, 0.282027, -0.0566175, -0.957734
0.259892, -0.084444, -0.961938, 0.248763, -0.046079, -0.967468
0.282027, -0.0566175, -0.957734, 0.248763, -0.046079, -0.967468
0.69378, -0.68164, 0.232454, 0.711295, -0.672636, 0.20401
0.69378, -0.68164, 0.232454, 0.716793, -0.655021, 0.239072
0.711295, -0.672636, 0.20401, 0.716793, -0.655021, 0.239072
0.850651, -0.447214, 0.276393, 0.849995, -0.426229, 0.309576
0.850651, -0.447214, 0.276393, 0.834622, -0.457539, 0.306699
0.849995, -0.426229, 0.309576, 0.834622, -0.457539, 0.306699
0.69378, -0.68164, 0.232454, 0.716793, -0.655021, 0.239072
0.69378, -0.68164, 0.232454, 0.697768, -0.664083, 0.268539
0.716793, -0.655021, 0.239072, 0.697768, -0.664083, 0.268539
0.961938, -0.143665, -0.232454, 0.970815, -0.126085, -0.20401
0.961938, -0.143665, -0.232454, 0.964909, -0.108603, -0.239072
0.970815, -0.126085, -0.20401, 0.964909, -0.108603, -0.239072
0.951057, 0.138197, -0.276393, 0.938191, 0.154788, -0.309577
0.951057, 0.138197, -0.276393, 0.944158, 0.120421, -0.306699
0.938191, 0.154788, -0.309577, 0.944158, 0.120421, -0.306699
0.961938, -0.143665, -0.232454, 0.964909, -0.108603, -0.239072
0.961938, -0.143665, -0.232454, 0.954845, -0.127116, -0.268539
0.964909, -0.108603, -0.239072, 0.954845, -0.127116, -0.268539
0.259892, 0.0844439, 0.961938, 0.291383, 0.0946759, 0.95191
0.259892, 0.0844439, 0.961938, 0.261444, 0.119967, 0.957734
0.291383, 0.0946759, 0.95191, 0.261444, 0.119967, 0.957734
0.262866, 0.361803, 0.894427, 0.230901, 0.384601, 0.893738
